Accept	I accept your invitation.
Experiment	She wanted to experiment with a new recipe for dinner.
Explain	Can you explain how to solve this math problem?
Explore	We decided to explore the city on foot.
Extend	He extended his arm to reach the book on the top shelf.
Verb	Example
Fail	She failed her driving test.
Fall	The leaves fall from the trees in autumn.
Feed	The mother bird feeds her chicks.
Feel	She feels happy after a good workout.
Fight	The two brothers used to fight over toys when they were younger.
Find	I was able to find my keys in my purse after searching for a few minutes.
Finish	He finished his homework before dinner.
Fit	This dress doesn’t fit me anymore.
Fly	The bird flies high in the sky.
Fold	She folds her clothes before putting them in a drawer.
Follow	The dog follows his owner everywhere.
Forbid	The sign forbids smoking in the park.
Forget	I always forget my passwords.
Forgive	She forgave him for his mistake.
Freeze	The water freezes in winter.
Fry	He fries the eggs for breakfast.
Gather	Let’s gather some wood for the fire.
Grow	The flowers in the garden are growing.
Grasp	She grasped the doorknob and opened it.
Glance	He glanced at his watch and hurried off.
Greet	She greeted me with a warm smile.
Guide	The teacher will guide the students through the difficult project.
Guess	I can only guess what he meant.
Give	He gave me a present for my birthday.
Go	We need to go to the store.
Generate	The wind turbines generate electricity.
Grab	She grabbed her keys and ran out the door.
Glitter	The diamonds on her necklace glittered.
Groan	He groaned when he realized his mistake.
Hang	He decided to hang the picture on the wall.
Happen	It didn’t happen as he had planned.
Hate	She hated the taste of the medicine.
Have	I have two cats as pets.
Hear	I can hear the birds chirping outside.
Hesitate	She hesitated before answering the question.
Hide	He tried to hide the gift from his sister.
Hit	The boxer hit his opponent with a left hook.
Hold	She held the baby tightly in her arms.
Hop	The frog hopped across the lily pad.
Hope	He hoped to win the race.
Hug	She hugged her friend after not seeing her for a long time.
Hurry	We need to hurry if we want to catch the train.
Hurt	He hurts his knee while playing soccer.
Identify	Can you identify the person in this photo?
Ignore	He chose to ignore the warning signs.
Illustrate	She illustrated her point with a diagram.
Imagine	Can you imagine what it would be like to live on Mars?
Imply	His tone implied that he was not happy with the decision.
Impress	Her confidence and intelligence really impressed me.
Improve	We need to improve our customer service.
Include	The package should include all necessary documents.
Incorporate	We decided to incorporate her ideas into the project.
Indicate	The sign indicated that the restaurant was closed.
Inform	She informed me that the meeting had been rescheduled.
Insist	He insisted that we go to the concert together.
Install	We need to install new software on our computers.
Intend	I intend to travel around the world one day.
Introduce	Let me introduce you to my colleague, Sarah.
Invest	He decided to invest in the stock market.
Investigate	The police are investigating the robbery.
Involve	The project will involve a lot of research.
Iron	She needs to iron her dress before the party.
Jog	I like to jog in the park every morning.
Juggle	She can juggle five balls at once.
Join	He joined the army after college.
Jump	The cat can jump over the fence easily.
Judge	She judged the competition fairly.
Justify	He tried to justify his actions, but it was hard to believe him.
Keep	Can you keep this secret?
Kick	He kicked the ball towards the goal.
Kiss	She kissed him on the cheek.
Kneel	The worshippers knelt down to pray.
Knit	She learned to knit a scarf for her sister.
Know	Do you know where the nearest gas station is located?
Lack	She lacks the necessary qualifications for the job.
Laugh	We all laughed at the funny joke.
Lay	She laid the book on the table.
Lead	He led the team to victory.
Lean	She leaned against the wall to catch her breath.
Leap	The athlete leapt over the hurdle.
Learn	She learned how to play the piano.
Leave	He left the party early.
Lend	Can you lend me a pen for a moment?
Lie (in bed)	She lay in bed all morning.
Lift	He lifted the heavy box with ease.
Light	She lit the candle with a match.
Lie (not to tell the truth)	He lied to his boss about being sick.
Like	I like chocolate ice cream.
Listen	Please listen carefully to my instructions.
Look	She looked out the window at the beautiful view.
Lose	He lost his wallet on the way to work.
Love	She loves spending time with her family.
Maintain	He maintained his car regularly.
Make	She made a cake for the party.
Manage	He managed the team successfully.
Matter	It doesn’t matter what you wear.
May	You may leave the room now.
Mean	What does this symbol mean?
Measure	She measured the length of the room.
Meet	Let’s meet at the coffee shop.
Melt	The ice cream began to melt in the sun.
Mention	He mentioned his vacation plans.
Might	I might go to the concert tonight.
Mind	Do you mind if I borrow your pen?
Miss	She missed the target with the arrow.
Mix	He mixed the ingredients for the cake.
Mow	He mowed the lawn on Saturday morning.
Must	You must wear a helmet while riding a bike.
Nag	My mom tends to nag me about cleaning my room every day.
Nourish	The mother breastfed to nourish her baby.
Nudge	She nudged him awake when the movie ended.
Navigate	He navigated the ship through the storm.
Name	She named her daughter after her grandmother.
Neglect	The landlord neglected to repair the leaking roof.
Nurture	She nurtured her garden with water and fertilizer.
Notify	The school notified the parents about the upcoming event.
Narrate	The author narrated the story in the first person.
Necessitate	The complex nature of the project necessitated more research.
Observe	She observed the birds flying south.
Obtain	He obtained a new job with a higher salary.
Occur	The accident occurred on the highway.
Offer	He offered me a ride to the airport.
Open	She opened the door and welcomed me inside.
Operate	He operates a small business in the city.
Order	I ordered a pizza for dinner last night.
Organize	She organized a surprise birthday party for him.
Ought to	You ought to be more careful when driving.
Overcome	He overcame his fear of public speaking.
Overtake	The car overtook the truck on the highway.
Owe	He owes me money for the rent.
Own	She owns a beautiful house by the beach.
Paint	She painted her room pink.
Participate	He will participate in the chess tournament.
Pay	She paid for her coffee with cash.
Peel	He peeled the banana before eating it.
Perform	She performed a beautiful song on the piano.
Persuade	He persuaded her to go on a date with him.
Pinch	She pinched her nose to stop the bad smell.
Plan	They planned their vacation to Hawaii.
Play	They played basketball in the park.
Point	She pointed to the north to show the direction.
Possess	He possessed a vast collection of books.
Postpone	They postponed the meeting until next week.
Pour	She poured milk into her coffee.
Practice	She practiced the piano for hours every day.
Prefer	He preferred tea over coffee.
Prepare	She prepared a delicious meal for her guests.
Pretend	She pretended to be a princess at the costume party.
Prevent	They prevented the fire from spreading to other houses.
Proceed	They proceeded with the construction of the building.
Promise	He promised to be on time for the meeting.
Propose	She proposed a new project to her team.
Protect	He protected his family from the wild animals.
Prove	He proved his theory through scientific experiments.
Pull	He pulled the door to open it.
Punch	He punched the bully in the face.
Pursue	She pursued her dreams of becoming a doctor.
Push	She pushed the shopping cart down the aisle.
Put	He put the keys on the kitchen counter.
Verbs	Examples
Quack	The duck quacked loudly.
Quit	He quit his job after he won the lottery.
Quell	The police were able to quell the riot.
Quest	He quested for the lost treasure for many years.
Quake	The ground began to quake as the volcano erupted.
Qualify	She qualified for the scholarship with her excellent grades.
Verb	Example
React	She reacted angrily to the criticism.
Read	I like to read books in my free time.
Realize	He realized he had made a mistake.
Recall	I cannot recall where I left my keys.
Receive	I received a gift from my friend.
Recollect	I cannot recollect meeting him before.
Recommend	I recommend this restaurant for dinner.
Reduce	We need to reduce our expenses this month.
Refer	Can you refer me to a good lawyer?
Reflect	She reflected on her past mistakes.
Refuse	I refuse to work for such a low wage.
Regret	She regretted not going to college.
Relate	I can relate to your struggle with anxiety.
Relax	I like to relax by taking a long bath.
Relieve	The medicine relieved his headache.
Rely	I rely on my best friend for emotional support.
Remain	Only a few guests remained at the party.
Remember	I remember our first date like it was yesterday.
Remind	Can you remind me to call my mom tonight?
Repair	I need to repair my car’s brakes.
Replace	I replaced my old phone with a new one.
Represent	The eagle represents freedom in America.
Require	This job requires a lot of hard work.
Resent	She resented his constant criticism.
Resist	He resisted the temptation to eat the cake.
Retain	I retained ownership of the house after the divorce.
Retire	My dad plans to retire next year.
Rid	She rid herself of toxic friends.
Ride	I like to ride my bike to work when the weather is nice.
Ring	The phone rang loudly in the quiet
Rise	The sun rises in the east every morning.
Risk	She didn’t want to risk getting caught by the police.
Roast	We are going to roast marshmallows over the fire.
Run	She likes to run every morning to stay fit.
Verb	Example
Sanction	The government will sanction the new law.
Satisfy	The delicious meal satisfied our hunger.
Say	She said that she loved him.
Scrub	He scrubbed the floors until they sparkled.
See	I can see the mountains in the distance.
Seem	It seems that she is not feeling well.
Sell	She sells handmade jewelry at the market.
Send	He will send the package tomorrow.
Serve	The waiter will serve our dinner soon.
Set	She set the table for dinner.
Settle	They settled their argument peacefully.
Sew	She will sew a patch onto her jacket.
Shake	He shook his head in disbelief.
Shall	We shall meet at the park at noon.
Shed	The tree shed its leaves in the fall.
Shine	The sun shone brightly in the sky.
Shoot	He will shoot a movie in Paris next month.
Should	You should study harder for the exam.
Show	He will show his new painting at the gallery.
Shrink	The sweater shrank in the wash.
Shut	She shut the window to keep out the cold.
Sing	They will sing a song together.
Sink	The boat sank in the stormy sea.
Sit	She will sit on the couch to watch TV.
Ski	He loves to ski in the mountains.
Sleep	She will sleep soundly through the night.
Slice	He will slice the bread for sandwiches.
Slide	She will slide down the hill on her sled.
Slip	She slipped on the icy sidewalk.
Smell	The roses smell sweet.
Snore	He will snore loudly when he is tired.
Solve	She will solve the math equation correctly.
Sow	He will sow wildflowers in the field.
Speak	She will speak at the conference next week.
Specify	Please specify the color and size you want.
Spell	She will spell her name for the teacher.
Spend	They will spend their vacation at the beach.
Spill	She accidentally spilled coffee on her shirt.
Spit	He will spit out his gum before the exam.
Spread	She will spread butter on her toast.
Squat	He will squat down to tie his shoelaces.
Stack	She will stack the books neatly on the shelf.
Stand	She will stand in line for tickets to the show.
Start	He will start his new job next week.
Steal	She will steal a glance at her crush.
Stick	She will stick the poster on the wall.
Sting	The bee can sting you if you get too close.
Stink	The garbage in the dumpster stinks.
Stir	She will stir the soup on the stove.
Stop	She will stop at the red light.
Stretch	She will stretch her legs before going for a run.
Strike	She will strike the nail with a hammer.
Struggle	She will struggle to lift the heavy box.
Study	She will study for her history exam.
Submit	She will submit her proposal to the committee.
Succeed	She will succeed in her new job.
Suffer	She will suffer from a headache.
Suggest	She will suggest a new restaurant for you
Supply	She will supply the office with new computers.
Suppose	He will suppose that she’s running late.
Surprise	She will surprise her friend with a birthday gift.
Survive	He will survive the car accident.
Swear	She will swear to tell the truth in court.
Sweep	She will sweep the floor before guests arrive.
Swell	She will swell with pride when she receives the award.
Swim	She will swim in the pool.
Swing	She will swing on the playground.
Verb	Example
Take	Can you take this book to the library?
Talk	Let’s talk about our plans for the weekend.
Taste	This soup tastes too salty.
Teach	My mom used to teach me how to cook.
Tear	She accidentally tore her shirt sleeve.
Tell	Please tell me what happened last night.
Tend	She tends to her garden every morning.
Think	I need to think about what you said.
Threaten	He threatened to call the police on me.
Throw	He can throw a football really far.
Tiptoe	She tiptoed out of the room to avoid waking anyone up.
Tolerate	I can’t tolerate spicy food.
Translate	He can translate French into English.
Try	I’m going to try this new recipe tonight.
Unfold	She unfolded the map to find the route to the airport.
Undertake	He undertook the project despite the challenges.
Upset	The bad news upset him for the rest of the day.
Understand	I can’t understand what you’re saying.
Use	He used his computer to write a report.
Upgrade	She upgraded her phone to the latest model.
Urge	I urge you to reconsider your decision.
Unite	The two companies decided to unite for a joint venture.
Validate	The supervisor will validate the test results.
Vanish	The magician made the rabbit vanish from the hat.
Vex	The constant noise from the construction site vexed me.
Visualize	She tried to visualize the beach as she closed her eyes.
Volunteer	She volunteered to help organize the fundraiser.
Verify	Please verify your email address to complete the sign-up process.
Visit	We plan to visit our relatives in Florida this summer.
View	The artist’s paintings were viewed by many people at the exhibit.
Vitalize	The fresh air and exercise helped to vitalize my body.
Vocalize	The baby began to vocalize and make cooing sounds.
Wait	I have to wait for the bus.
Wake	I usually wake up at 7am.
Walk	Let’s walk to the park.
Want	I want a new phone.
Warn	The weather forecast warned of a storm.
Wash	I need to wash my car.
Watch	Let’s watch a movie tonight.
Wave	He waved goodbye to me.
Wear	I like to wear comfortable clothes.
Weep	She wept after watching the emotional movie.
Weigh	I need to weigh this package before shipping it.
Whip	The chef whipped the cream for the dessert.
Will	I will study harder for my exams.
Win	Our team won the championship game.
Wish	I wish I could travel the world.
Would	I would go if I had more time.
Write	I need to write a report for work.
X-ray	The doctor X-rayed my broken arm to see the extent of the damage.
Xerox	I need to Xerox this document before I send it out.
Yield	The farm yielded a bountiful harvest this year.
Yell	The coach yelled at the players to run faster.
Yearn	She yearns to travel the world.
Zap	Can you please zap the leftovers for me?
Zoom	The race car zoomed down the track.
Zigzag	The snake zigzagged across the path.
Zone	The city is zoned into residential and commercial areas.
Zero	The scale needs to be zeroed before weighing anything.
Accomplish	She was able to accomplish her dream of becoming a doctor
Achieve	He worked hard to achieve his goal of running a marathon
Celebrate	They celebrated their anniversary with a romantic dinner
Compliment	She complimented her friend’s outfit, saying it looked great
Create	The artist created a beautiful painting
Develop	The company developed a new software program
Empower	The mentor empowered her student to pursue their dreams
Encourage	She encouraged her friend to apply for the job
Enhance	The renovations enhanced the beauty of the old house
Expand	The business decided to expand its operations
Explore	They went on a hiking trip to explore the mountains
Foster	The school aims to foster a love of learning in its students
Generate	The solar panels generated enough energy for the house
Improve	The athlete worked hard to improve their performance
Inspire	Her story inspired others to pursue their dreams
Learn	She signed up for a cooking class to learn new recipes
Motivate	The coach motivated his team to work harder and win
Nurture	The mother nurtured her child’s artistic talents
Optimise	The company optimized its marketing strategy
Overcome	She was able to overcome her fear of public speaking
Progress	All projects progress towards completion
Promote	The company decided to promote its employees
Renew	The couple renewed their vows on their anniversary
Succeed	She succeeded in winning the competition
Support	The charity supports local causes and organizations
Thrive	The plants thrived in the sunny and humid weather
Transform	The company transformed its image with a new logo
Upgrade	He upgraded his computer to improve its speed and memory
Volunteer	She volunteers at a local homeless shelter every weekend
Win	The team worked hard to win the championship
Yield	The farm yielded a bumper crop of fruits and vegetables
Senses
Feel
Hear
See
Smell
Taste
Emotions
Adore
Appreciate
Dislike
Envy
Gate
Love
Prefer
Thoughts and beliefs
Believe
Doubt
Imagine
Know
Recognize
Remember
Understand
Possession
Belong
Have
Own
Possess
States of being
Appear
Be
Exist
Lie
Remain
Seem
Stay
Walk
Run
Jump
Dance
Swim
Play
Climb
Lift
Communication
Speak
Talk
Say
Shout
Whisper
Write
Read
Listen
Mental actions
Think
Ponder
Consider
Analyze
Plan
Decide
Remember
Forget
Changes
Grow
Shrink
Expand
Contract
Evolve
Transform
Develop
Change
Perception
See
Hear
Feel
Smell
Taste
Look
Appear
Think
Feel
Have
See
Taste
Smell
Be
Weigh
Measure
Mind
Will
Shall
Would
Should
Ought to
Must
Mustn’t
May
Might
Can
Could
Have to
Has to
Don’t
Doesn’to
Be
am
is
are
was
were
been
Begin
begin
began
begun
